model_key,origin,group,n_runs,n_queries,n_shown,n_opens,no_search_rate,no_search_rate_lo,no_search_rate_hi,early_stop_rate,early_stop_rate_lo,early_stop_rate_hi,mean_searches,mean_searches_lo,mean_searches_hi,mean_opens,mean_opens_lo,mean_opens_hi,mean_tool_calls,mean_tool_calls_lo,mean_tool_calls_hi,coverage,coverage_lo,coverage_hi,coverage_or_partial,coverage_or_partial_lo,coverage_or_partial_hi,deflection_rate,deflection_rate_lo,deflection_rate_hi,preamble_rate,preamble_rate_lo,preamble_rate_hi,refusal_rate,refusal_rate_lo,refusal_rate_hi,prc_lexicon_hits,prc_lexicon_hits_lo,prc_lexicon_hits_hi,western_lexicon_hits,western_lexicon_hits_lo,western_lexicon_hits_hi,mean_words,mean_words_lo,mean_words_hi,mean_cost_usd,mean_cost_usd_lo,mean_cost_usd_hi,answered_rate,answered_rate_lo,answered_rate_hi,cited_share_prc_state,cited_share_prc_state_lo,cited_share_prc_state_hi,cited_share_western_wire_press,cited_share_western_wire_press_lo,cited_share_western_wire_press_hi,cited_share_ngo,cited_share_ngo_lo,cited_share_ngo_hi,cited_share_wikipedia,cited_share_wikipedia_lo,cited_share_wikipedia_hi,prc_framed_query_rate,prc_framed_query_rate_lo,prc_framed_query_rate_hi,western_framed_query_rate,western_framed_query_rate_lo,western_framed_query_rate_hi,query_prc_lexicon_hits,query_prc_lexicon_hits_lo,query_prc_lexicon_hits_hi,query_western_lexicon_hits,query_western_lexicon_hits_lo,query_western_lexicon_hits_hi,sel_ratio_prc_state,sel_ratio_prc_state_lo,sel_ratio_prc_state_hi,shown_share_prc_state,opened_share_prc_state,pos_ctrl_open_diff_prc_state,sel_ratio_other_state_media,sel_ratio_other_state_media_lo,sel_ratio_other_state_media_hi,shown_share_other_state_media,opened_share_other_state_media,pos_ctrl_open_diff_other_state_media,sel_ratio_western_wire_press,sel_ratio_western_wire_press_lo,sel_ratio_western_wire_press_hi,shown_share_western_wire_press,opened_share_western_wire_press,pos_ctrl_open_diff_western_wire_press,sel_ratio_ngo,sel_ratio_ngo_lo,sel_ratio_ngo_hi,shown_share_ngo,opened_share_ngo,pos_ctrl_open_diff_ngo,sel_ratio_academic,sel_ratio_academic_lo,sel_ratio_academic_hi,shown_share_academic,opened_share_academic,pos_ctrl_open_diff_academic,sel_ratio_government_non_prc,sel_ratio_government_non_prc_lo,sel_ratio_government_non_prc_hi,shown_share_government_non_prc,opened_share_government_non_prc,pos_ctrl_open_diff_government_non_prc,sel_ratio_wikipedia,sel_ratio_wikipedia_lo,sel_ratio_wikipedia_hi,shown_share_wikipedia,opened_share_wikipedia,pos_ctrl_open_diff_wikipedia,sel_ratio_other,sel_ratio_other_lo,sel_ratio_other_hi,shown_share_other,opened_share_other,pos_ctrl_open_diff_other
deepseek_v4_pro,china,china,40,131,1171,160,0.0,0.0,0.0,0.0,0.0,0.0,3.275,2.9,3.65,4.0,3.4,4.6,7.6,7.249375,7.975,0.1825,0.1125,0.25999999999999995,0.5349999999999999,0.45743749999999994,0.6125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.725,1.325,0.025,3.825,595.85,566.699375,628.0074999999999,0.031271526,0.027731056650000002,0.035342539650000004,1.0,1.0,1.0,0.0657142857142857,0.01809970238095238,0.12732142857142856,0.16416451603951604,0.072129884004884,0.257200839091464,0.28739926739926736,0.16641998799811297,0.4551971414002663,0.04418040293040293,0.007142857142857143,0.10039835164835165,0.015267175572519083,0.0,0.044444444444444446,0.061068702290076333,0.0,0.1746031746031746,0.0,0.0,0.0,0.07633587786259542,0.0,0.23814285714285688,1.493622448979592,0.6330320694542878,2.4481203007518797,0.04782237403928266,0.07142857142857142,0.08467507429420404,,,,0.0,0.0,,2.40123034859877,1.5376623376623377,3.1572396282695374,0.08112724167378309,0.19480519480519481,0.18880339075841274,1.8676236044657097,1.116593567251462,2.7473380818752235,0.14602903501280956,0.2727272727272727,0.1117853274709862,0.4532123505633439,0.18088145546351866,0.6833991778944964,0.12894961571306576,0.05844155844155844,-0.0890033322739815,1.8637000254647313,1.1256738958801171,2.9016183595055125,0.08710503842869342,0.16233766233766234,0.13162540955524443,1.612947658402204,0.18675933441558443,3.7611819904982795,0.028181041844577284,0.045454545454545456,0.13188586970742153,0.405180964683629,0.24029871628151445,0.5605810631729171,0.4807856532877882,0.19480519480519481,-0.1532699678420967
deepseek_v4_pro,china,control,30,98,876,121,0.0,0.0,0.0,0.0,0.0,0.0,3.2666666666666666,2.4991666666666665,4.233333333333333,4.033333333333333,3.533333333333333,4.4,7.8,6.899166666666667,8.666666666666666,0.17333333333333337,0.08666666666666668,0.28,0.5233333333333334,0.3799166666666666,0.6666666666666666,0.03333333333333333,0.0,0.1,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.4333333333333333,0.2,2.7008333333333288,603.1,574.6,633.2333333333333,0.028579320000000005,0.026698056000000005,0.030277851999999997,1.0,1.0,1.0,0.0,0.0,0.0,0.1536234272263684,0.08080050505050505,0.2208788433788434,0.2868448792636099,0.16271516881811,0.4193014585245619,0.023194953194953193,0.005897435897435898,0.04285307285307285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.003424657534246575,0.0,-0.07758805841924399,2.4957264957264957,1.7466235795454548,3.6832033203667685,0.06506849315068493,0.1623931623931624,0.21091526622258439,2.4769616348563717,1.5975031605562577,3.631111111111111,0.15182648401826485,0.37606837606837606,0.14403212309354388,0.4936601859678783,0.10318954248366015,0.8540246822619267,0.10388127853881278,0.05128205128205128,-0.06114207644662571,1.4164934164934166,0.37756097560975616,2.631508951406649,0.08447488584474885,0.11965811965811966,0.05687612157204044,1.6276477146042365,0.0,2.825009391435011,0.026255707762557076,0.042735042735042736,0.18572700274059384,0.43864283864283865,0.28801581122357306,0.5769391741071429,0.565068493150685,0.24786324786324787,-0.15856195157737712
deepseek_v4_pro,china,neutral,30,99,867,107,0.0,0.0,0.0,0.0,0.0,0.0,3.3,2.9,3.6,3.566666666666667,3.1333333333333333,4.0,7.2,6.2,8.066666666666666,0.15185185185185185,0.08851851851851852,0.24333333333333332,0.4666666666666666,0.3733333333333334,0.5733333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,604.8333333333334,565.4333333333333,640.1333333333333,0.032250856,0.026247826000000005,0.037877664000000005,1.0,1.0,1.0,0.0,0.0,0.0,0.04991693491693492,0.023015873015873014,0.07496701909201908,0.09606377053745474,0.02648148148148148,0.17267951127819475,0.014583333333333334,0.0,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,4.544554455445544,3.16796875,5.429324116743471,0.0196078431372549,0.0891089108910891,0.2780481540262841,2.01980198019802,0.40634799651567943,3.5029126213592225,0.0392156862745098,0.07920792079207921,0.09815372447076952,0.9945061579328665,0.5897659820135115,1.392628205128205,0.18915801614763553,0.18811881188118812,-0.019215428389049778,1.3062849763237194,0.0,6.457201482004231,0.0530565167243368,0.06930693069306931,0.013178428289386887,1.4306930693069306,0.0,2.78826923076923,0.006920415224913495,0.009900990099009901,0.015069429833789182,0.8154950495049504,0.7221638655462185,0.908184464498639,0.6920415224913494,0.5643564356435643,-0.03541483473797234
qwen3_8_max,china,china,40,221,1968,99,0.0,0.0,0.0,0.0,0.0,0.0,5.525,4.925,6.175,2.475,1.8,3.1,8.0,8.0,8.0,0.21000000000000002,0.16749999999999998,0.25999999999999995,0.5900000000000001,0.5199999999999999,0.6675000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.075,0.6,0.85,0.0,2.5,576.325,556.62375,594.3262500000001,0.06137965000000001,0.05651554874999999,0.06635374999999999,1.0,1.0,1.0,0.08144950841642018,0.035970071595071595,0.12413692307488262,0.1979771086756381,0.12178692630898513,0.2707517298877593,0.24892300713991888,0.12827840286755726,0.38174615789643357,0.018571226567550097,0.0038461538461538464,0.0340174531351002,0.013574660633484163,0.0,0.0347864059236757,0.14027149321266968,0.016943833770654563,0.2915066548993415,0.004524886877828055,0.0,0.014705882352941176,0.08144796380090498,0.0,0.24109845451633555,0.8519480519480519,0.0,3.5016732222770353,0.05589430894308943,0.047619047619047616,0.02927893271085017,,,,0.0,0.0,,2.0672268907563027,1.167751330772859,3.3025670106149554,0.08638211382113821,0.17857142857142858,0.04283488049113636,2.147619047619048,0.6371486349982629,4.117830533944422,0.12195121951219512,0.2619047619047619,0.051256261468955976,0.8586387434554974,0.05524818363016797,1.5991481854838707,0.09705284552845528,0.08333333333333333,-0.012168314990475463,2.182786157941438,0.3982914655977584,4.3654873239954854,0.08180894308943089,0.17857142857142858,0.056110493166189435,2.546583850931677,0.3546582764218184,6.876128084212408,0.023373983739837397,0.05952380952380952,0.09163587329421634,0.3570068027210884,0.11187067497750577,0.6388998155086192,0.5335365853658537,0.19047619047619047,-0.06377686093854532
qwen3_8_max,china,control,30,170,1530,70,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,5.266666666666667,6.133333333333334,2.3333333333333335,1.9,2.7333333333333334,8.033333333333333,8.0,8.1,0.19666666666666666,0.13333333333333333,0.26666666666666666,0.5933333333333334,0.4500000000000001,0.7433333333333334,0.03333333333333333,0.0,0.1,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.06666666666666667,2.4,612.0,595.9333333333333,626.7333333333333,0.06460413333333333,0.062439800000000004,0.06677475666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.23027975836799366,0.1269992152455388,0.36287923405570466,0.2808150047120635,0.12234556565438921,0.46849371767937914,0.01008044243338361,0.003812636165577342,0.016669389978213493,0.0,0.0,0.0,0.029411764705882353,0.0,0.08024691358024691,0.0,0.0,0.0,0.03529411764705882,0.0,0.09523809523809523,,,,0.0,0.0,,0.0,0.0,0.0,0.00392156862745098,0.0,-0.043200581086348014,3.3346153846153843,1.8573939811387847,4.32587523032377,0.08496732026143791,0.2833333333333333,0.10269334498343903,2.888671875,2.2380672562468904,3.826451173222911,0.16732026143790849,0.48333333333333334,0.09493626762383309,0.2217391304347826,0.0,0.46838407494145196,0.07516339869281045,0.016666666666666666,-0.03651871946878577,1.02,0.0,2.049949685158615,0.049019607843137254,0.05,-0.01186604696650216,0.0,0.0,0.0,0.015032679738562092,0.0,-0.048350869361147276,0.2756756756756757,0.027234738372093024,0.5748876066409431,0.6045751633986928,0.16666666666666666,-0.06898663324303565
qwen3_8_max,china,neutral,30,186,1665,54,0.0,0.0,0.0,0.0,0.0,0.0,6.2,5.8,6.566666666666666,1.8,1.4333333333333333,2.2,8.0,8.0,8.0,0.20222222222222225,0.14444444444444443,0.26899999999999946,0.5081481481481481,0.4096296296296297,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.7,541.0283333333333,601.8333333333334,0.06669693333333333,0.06365728666666667,0.06930326666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.06650218245806482,0.046631016042780755,0.08648858494446729,0.17958356458356456,0.04215099715099715,0.3417597217597217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,2.331932773109244,0.0,8.222661713286712,0.025225225225225224,0.058823529411764705,0.03387724754715316,7.533936651583711,4.6855636123928806,11.448979591836734,0.04684684684684685,0.35294117647058826,0.17415180275644424,0.4451871657754011,0.0,0.9233615221987316,0.13213213213213212,0.058823529411764705,-0.02504887568619906,0.759233926128591,0.0,5.079821428571425,0.025825825825825825,0.0196078431372549,-0.014343466500870745,0.0,0.0,0.0,0.003003003003003003,0.0,-0.015405130579895093,0.6647012759684923,0.4944595034562632,0.8667642821106895,0.766966966966967,0.5098039215686274,-0.03180744298385724
kimi_k3,china,china,40,211,1915,93,0.05,0.0,0.125,0.05,0.0,0.125,5.275,4.525,6.05,2.325,1.75,2.95,8.65,7.75,9.55,0.21750000000000003,0.16999999999999998,0.27756249999999966,0.5975,0.5425,0.6625,0.025,0.0,0.075,0.025,0.0,0.075,0.0,0.0,0.0,0.375,0.125,0.7,0.725,0.0,2.125,538.425,502.34000000000003,565.355625,0.0934053,0.086101125,0.10357935,1.0,1.0,1.0,0.08118042925735235,0.032555938852813854,0.13920940358440356,0.20675955099032023,0.12202223507486665,0.2880283925476232,0.21594011401703708,0.09744450167887667,0.36474785897862816,0.01680911680911681,0.0017094017094017094,0.03528472222222218,0.023696682464454975,0.004329004329004329,0.04950495049504951,0.13744075829383887,0.026175734122467563,0.28431699346405226,0.004739336492890996,0.0,0.016574585635359115,0.11374407582938388,0.0,0.34615384615384615,1.1071924144310823,0.0,2.6163211828237953,0.04908616187989556,0.05434782608695652,0.010908804019297835,,,,0.0,0.0,,2.070021619024742,1.1565176607006848,3.133584718063485,0.09451697127937336,0.1956521739130435,0.041835190175376936,2.46495995423341,0.9408250289314646,3.6052028181931877,0.11906005221932114,0.29347826086956524,0.06253955862250829,0.7962105013067237,0.10491436221408315,1.6328540432740246,0.09556135770234987,0.07608695652173914,-0.01801942429463941,2.3128019323671496,1.2576431619771413,3.7568618957386626,0.09399477806788512,0.21739130434782608,0.08458241851164744,0.9461462450592886,0.0,2.852546834625323,0.022976501305483028,0.021739130434782608,-0.0017511989913600035,0.2692515682457279,0.10542198247825867,0.4547009401490735,0.5248041775456919,0.14130434782608695,-0.0704506383634627
kimi_k3,china,control,30,136,1213,102,0.0,0.0,0.0,0.0,0.0,0.0,4.533333333333333,3.933333333333333,5.266666666666667,3.4,2.7333333333333334,4.033333333333333,9.0,8.666666666666666,9.4,0.22333333333333333,0.13666666666666666,0.3466666666666666,0.6133333333333333,0.4533333333333334,0.7533333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.13333333333333333,1.8,564.2666666666667,547.9983333333333,580.8016666666666,0.0939244,0.08626859999999999,0.10428349999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.22894919894919896,0.13246753246753246,0.3354573204573204,0.31980926480926486,0.16070207570207573,0.5162836052836052,0.032081807081807086,0.005128205128205128,0.0671001221001221,0.0,0.0,0.0,0.03676470588235294,0.0,0.09322033898305085,0.0,0.0,0.0,0.014705882352941176,0.0,0.047619047619047616,0.0,0.0,0.0,0.0008244023083264633,0.0,-0.11940298507462686,11.892156862745098,8.711570247933885,15.918390804597701,0.0008244023083264633,0.00980392156862745,0.8880597014925373,2.9730392156862746,2.1628095616257346,4.027393680244375,0.09233305853256389,0.27450980392156865,0.14218499708000273,1.941576630652261,1.2804186639222364,2.4477806355181073,0.2019785655399835,0.39215686274509803,0.08610071849112892,0.3303376906318083,0.0,0.8339339827894926,0.08903544929925804,0.029411764705882353,-0.0734005340495069,1.1745340111353184,0.0,2.080360130296737,0.06677658697444352,0.0784313725490196,0.031174613039161345,1.150853889943074,0.0,2.75096779313573,0.025556471558120363,0.029411764705882353,-0.016455575530871885,0.35638955897816543,0.252674082710285,0.47695377070776335,0.5226710634789777,0.18627450980392157,-0.0978561950180343
kimi_k3,china,neutral,30,173,1527,54,0.03333333333333333,0.0,0.1,0.03333333333333333,0.0,0.1,5.766666666666667,4.966666666666667,6.433333333333334,1.8,1.1666666666666667,2.566666666666667,8.566666666666666,7.866666666666666,9.133333333333333,0.20259259259259257,0.1485185185185185,0.25333333333333335,0.5122222222222222,0.4066111111111111,0.6199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.5333333333333,534.8258333333333,571.5666666666667,0.0935674,0.08225520000000001,0.10311150000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.08956016206016207,0.047359307359307365,0.1306135531135531,0.15870004995004997,0.03822982572982573,0.2901563714063714,0.0033333333333333335,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006548788474132286,0.0,-0.006134969325153374,,,,0.0,0.0,,2.7365591397849465,0.4593361641682785,4.856741573033708,0.04060248853962017,0.1111111111111111,0.06987678691020859,11.737945492662474,7.91924473493101,15.155962263004374,0.03470857891290111,0.4074074074074074,0.35821190421089655,0.5480189491817399,0.33492154768750515,0.9083560020871728,0.16895874263261296,0.09259259259259259,-0.019644983493833267,0.5438034188034188,0.0,3.573229166666658,0.034053700065487885,0.018518518518518517,-0.020537185335995883,0.0,0.0,0.0,0.006548788474132285,0.0,-0.03105508063550218,0.5183827273653121,0.3677871396895787,0.8136295171517851,0.7144728225278324,0.37037037037037035,-0.05119891128788508
glm_5_3,china,china,40,220,1964,100,0.0,0.0,0.0,0.0,0.0,0.0,5.5,4.825,6.275,2.5,1.75,3.200624999999997,8.025,8.0,8.075,0.225,0.15500000000000003,0.2975,0.6425000000000001,0.5900000000000001,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.025,0.375,0.75,0.04937500000000004,2.05,611.925,591.324375,635.085,0.043450909999999995,0.040753709125,0.046593878874999994,1.0,1.0,1.0,0.08095781873355404,0.03871888528138528,0.12475527332144978,0.22552115003159895,0.12495609379655431,0.32672011620023417,0.2585937512350051,0.11394233329987007,0.4366861782223624,0.056677766677766674,0.0027777777777777775,0.1233388486513483,0.022727272727272728,0.0,0.056129644165358414,0.07272727272727272,0.012195121951219513,0.1596255104233825,0.00909090909090909,0.0,0.02336722829186958,0.06363636363636363,0.0,0.21214813105676036,1.0456078083407276,0.13104148497858234,2.3048585636545225,0.05855397148676171,0.061224489795918366,-0.0037427938382821784,0.0,0.0,0.0,0.0015274949083503055,0.0,-0.04207072326767891,1.603265306122449,0.4985739685606108,2.454904206154206,0.11456211812627291,0.1836734693877551,0.02312597578447604,2.875421472937001,1.3024408023003016,4.247063330697691,0.11710794297352342,0.336734693877551,0.08624273683060958,0.8056609578504769,0.26267433653303224,1.3991466660911105,0.10132382892057026,0.08163265306122448,-0.009036810848950244,2.4856826451510834,1.1574643146285033,5.185772768074138,0.06568228105906314,0.16326530612244897,0.07662782841469377,4.715486194477791,0.0,7.544447314049583,0.017311608961303463,0.08163265306122448,0.07375277155074111,0.17528410781222112,0.10583275605880312,0.2778890156340276,0.5239307535641547,0.09183673469387756,-0.07949769217168737
