model_key,origin,target,delta_no_search_rate,delta_no_search_rate_lo,delta_no_search_rate_hi,delta_early_stop_rate,delta_early_stop_rate_lo,delta_early_stop_rate_hi,delta_mean_searches,delta_mean_searches_lo,delta_mean_searches_hi,delta_mean_opens,delta_mean_opens_lo,delta_mean_opens_hi,delta_mean_tool_calls,delta_mean_tool_calls_lo,delta_mean_tool_calls_hi,delta_coverage,delta_coverage_lo,delta_coverage_hi,delta_coverage_or_partial,delta_coverage_or_partial_lo,delta_coverage_or_partial_hi,delta_deflection_rate,delta_deflection_rate_lo,delta_deflection_rate_hi,delta_preamble_rate,delta_preamble_rate_lo,delta_preamble_rate_hi,delta_refusal_rate,delta_refusal_rate_lo,delta_refusal_rate_hi,delta_prc_lexicon_hits,delta_prc_lexicon_hits_lo,delta_prc_lexicon_hits_hi,delta_western_lexicon_hits,delta_western_lexicon_hits_lo,delta_western_lexicon_hits_hi,delta_mean_words,delta_mean_words_lo,delta_mean_words_hi,delta_mean_cost_usd,delta_mean_cost_usd_lo,delta_mean_cost_usd_hi,delta_answered_rate,delta_answered_rate_lo,delta_answered_rate_hi,delta_cited_share_prc_state,delta_cited_share_prc_state_lo,delta_cited_share_prc_state_hi,delta_cited_share_western_wire_press,delta_cited_share_western_wire_press_lo,delta_cited_share_western_wire_press_hi,delta_cited_share_ngo,delta_cited_share_ngo_lo,delta_cited_share_ngo_hi,delta_cited_share_wikipedia,delta_cited_share_wikipedia_lo,delta_cited_share_wikipedia_hi,delta_prc_framed_query_rate,delta_prc_framed_query_rate_lo,delta_prc_framed_query_rate_hi,p_perm_prc_framed_query_rate,delta_western_framed_query_rate,delta_western_framed_query_rate_lo,delta_western_framed_query_rate_hi,p_perm_western_framed_query_rate,delta_query_prc_lexicon_hits,delta_query_prc_lexicon_hits_lo,delta_query_prc_lexicon_hits_hi,delta_query_western_lexicon_hits,delta_query_western_lexicon_hits_lo,delta_query_western_lexicon_hits_hi,delta_sel_ratio_prc_state,delta_sel_ratio_prc_state_lo,delta_sel_ratio_prc_state_hi,delta_sel_ratio_western_wire_press,delta_sel_ratio_western_wire_press_lo,delta_sel_ratio_western_wire_press_hi,delta_sel_ratio_ngo,delta_sel_ratio_ngo_lo,delta_sel_ratio_ngo_hi,delta_sel_ratio_other_state_media,delta_sel_ratio_other_state_media_lo,delta_sel_ratio_other_state_media_hi,delta_sel_ratio_wikipedia,delta_sel_ratio_wikipedia_lo,delta_sel_ratio_wikipedia_hi
deepseek_v4_pro,china,china_minus_control,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333304,-0.9916666666666663,0.858333333333333,-0.033333333333333215,-0.7416666666666663,0.7666666666666666,-0.20000000000000018,-1.100416666666667,0.7922916666666635,0.009166666666666629,-0.12250000000000003,0.12252083333333323,0.011666666666666492,-0.15168750000000017,0.16916666666666663,-0.03333333333333333,-0.1,0.0,-0.03333333333333333,-0.1,0.0,0.0,0.0,0.0,0.4,0.15,0.725,-0.10833333333333339,-2.4085416666666664,2.767083333333331,-7.25,-47.22562500000003,34.61208333333333,0.0026922059999999956,-0.0012109319750000043,0.007042387274999998,0.0,0.0,0.0,0.0657142857142857,0.016767113095238095,0.12982291666666668,0.010541088813147637,-0.10136641514123132,0.12778765842001133,0.0005543881356574465,-0.18414900240117923,0.21015618792219987,0.020985449735449736,-0.02235986467236467,0.08044530932030933,0.015267175572519083,0.0,0.04580152671755725,0.6824635072985403,0.061068702290076333,0.0,0.17326271716035477,0.5170965806838632,0.0,0.0,0.0,0.07633587786259542,0.0,0.24,,,,-0.09449614712772592,-1.3751228172625776,0.8054121217535848,-0.6093380303906619,-1.7627824426818244,0.45665204666394893,,,,-0.014700056202032519,-1.8898557909310503,2.2159038979631247
qwen3_8_max,china,china_minus_control,0.0,0.0,0.0,0.0,0.0,0.0,-0.1416666666666666,-0.9500000000000002,0.6335416666666659,0.1416666666666666,-0.6502083333333336,0.8999999999999999,-0.033333333333333215,-0.09999999999999964,0.0,0.013333333333333364,-0.06668750000000004,0.09083333333333332,-0.0033333333333332993,-0.16749999999999987,0.1566874999999999,-0.03333333333333333,-0.1,0.0,-0.03333333333333333,-0.1,0.0,0.0,0.0,0.0,0.3,0.075,0.575,-0.08333333333333337,-1.7752083333333335,1.7333333333333334,-35.674999999999955,-59.38125,-10.905625000000095,-0.0032244833333333195,-0.00827942374999999,0.0023556404166666482,0.0,0.0,0.0,0.08144950841642018,0.03510278957153957,0.12656031876620114,-0.03230264969235555,-0.18745936273693634,0.09751303329704064,-0.031891997572144615,-0.2539745069234959,0.18253973074515345,0.008490784134166486,-0.007537811198197227,0.025962436256553898,0.013574660633484163,0.0,0.03286384976525822,0.28634273145370925,0.11085972850678733,-0.02735770879073914,0.2649832143796824,0.3297340531893621,0.004524886877828055,0.0,0.014563106796116505,0.046153846153846156,-0.07547169811320754,0.22153557661938827,,,,-1.2673884938590816,-2.4007683660792845,0.26999832804506035,-0.741052827380952,-2.2943632806789456,1.101012562275656,,,,2.546583850931677,0.5866935483870968,5.359361135758651
kimi_k3,china,china_minus_control,0.05,0.0,0.125,0.05,0.0,0.1,0.7416666666666671,-0.22499999999999964,1.708333333333333,-1.0749999999999997,-1.958333333333333,-0.20812500000000086,-0.34999999999999964,-1.299999999999999,0.5835416666666644,-0.0058333333333333015,-0.14335416666666664,0.10835416666666656,-0.015833333333333255,-0.1708333333333334,0.14418749999999994,0.025,0.0,0.075,0.025,0.0,0.075,0.0,0.0,0.0,0.375,0.1,0.675,-0.10833333333333339,-1.45,1.6337499999999976,-25.841666666666697,-63.100833333333355,7.3683333333333305,-0.0005191000000000084,-0.013042184374999996,0.012073820624999976,0.0,0.0,0.0,0.08118042925735235,0.032060694513819515,0.14059062184062177,-0.022189647958878733,-0.14862830934946322,0.09881929537698755,-0.10386915079222778,-0.3393773570179821,0.11259871747371741,-0.015272690272690275,-0.052944291819291806,0.01856432748538007,0.023696682464454975,0.0,0.05,0.21235752849430115,0.10067605241148592,-0.02021300927407882,0.2547464299703061,0.3339332133573285,0.004739336492890996,0.0,0.016485793212312538,0.0990381934764427,-0.03278688524590164,0.3279904962367646,1.1071924144310823,0.0,2.6829204204204213,-0.9030175966615328,-1.9870941504365098,0.19462224603880068,0.5233833235811489,-0.9791939662639437,1.8143952587326218,,,,-0.20470764488378546,-1.9795454545454547,1.496470588235294
glm_5_3,china,china_minus_control,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.29166666666666696,1.341874999999999,-0.4666666666666668,-1.35,0.3166666666666669,-0.00833333333333286,-0.13333333333333286,0.11687499999999933,0.004310344827586243,-0.1294867610837439,0.12999999999999998,0.011465517241379453,-0.1401770320197045,0.18416666666666653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.05,0.375,0.01666666666666672,-1.2833333333333332,1.6506249999999965,7.758333333333326,-30.4252083333334,47.391874999999985,0.0001130366666666563,-0.003864944625000007,0.004415107791666666,0.033333333333333326,0.0,0.09999999999999998,0.08095781873355404,0.038954985119047617,0.12559458091948889,0.09158815998806122,-0.03185838771089112,0.21544048427522325,-0.11719632807941499,-0.3856143749549875,0.13356149367488374,0.04258572844779741,-0.014335185886910025,0.10912684414085264,0.022727272727272728,0.0,0.057291666666666664,0.44991001799640074,0.05272727272727272,-0.014003860851264595,0.14146428571428551,0.39072185562887424,0.00909090909090909,0.0,0.021052631578947368,0.050303030303030294,-0.028174008590550394,0.19969234462889282,1.0456078083407276,0.2230769230769231,2.06993006993007,-0.9440831787260353,-2.7906595064884803,0.49213778122044605,0.25203273480945665,-1.4013615368566203,1.505655088474707,0.0,0.0,0.0,3.5833313123229082,-1.6489563567362426,6.884453715775746
minimax_m3,china,china_minus_control,0.0,0.0,0.0,0.0,0.0,0.0,-0.5583333333333336,-1.3249999999999997,0.23354166666666556,0.5583333333333331,-0.2583333333333333,1.3249999999999997,-0.22499999999999964,-0.5583333333333318,0.08333333333333215,0.01916666666666661,-0.05166666666666664,0.0933333333333333,0.021666666666666723,-0.09833333333333327,0.13749999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.175,0.65,-0.44166666666666665,-1.9333333333333331,1.0666666666666667,-11.016666666666652,-40.2675000000001,18.045625000000054,0.0005486724999999998,-0.0003392805624999998,0.0015307586250000004,0.0,0.0,0.0,0.0679494116994117,0.027946428571428573,0.10555473519536017,0.03816669441669443,-0.10265557763995259,0.16770649026899023,-0.08353952760202762,-0.280820150913901,0.0986202648624522,0.029538447663447664,-0.013931790431790428,0.07357692828005327,0.017142857142857144,0.0,0.05921052631578947,0.5574885022995401,0.06752895752895753,0.014595389747074777,0.14874066156171928,0.06858628274345131,0.0,0.0,0.0,0.033243243243243244,-0.013986013986013986,0.1320754716981132,,,,0.18341317327825424,-0.9357789204748577,2.090513022639243,-0.4307661304334416,-1.6852462761382208,0.6627524589950036,-2.9662921348314604,-9.223684210526315,0.0,-0.2123708543395204,-2.578378293275352,2.573367288270686
gpt_oss_120b,west,china_minus_control,0.0,0.0,0.0,0.0,0.0,0.0,-0.43333333333333357,-1.1502083333333337,0.3583333333333334,0.3166666666666669,-0.4750000000000001,1.1418749999999993,-0.11666666666666625,-0.4583333333333339,0.1750000000000007,0.06499999999999999,0.025833333333333347,0.11416666666666667,0.10666666666666669,0.0058333333333333015,0.21918749999999995,-0.06666666666666667,-0.13333333333333333,0.0,-0.06666666666666667,-0.13333333333333333,0.0,0.0,0.0,0.0,0.3,0.1,0.525,0.4666666666666667,-0.8504166666666667,2.1335416666666656,16.64166666666665,-54.47541666666669,96.26604166666662,0.0005008899999999995,-0.0005093690312499997,0.0014008876249999992,0.0,0.0,0.0,0.05577601410934744,0.005714285714285714,0.148422619047619,0.04808821466296956,-0.1364529733117877,0.21532274076972216,-0.13319128787878787,-0.3780467171717172,0.14881000187156201,0.03425925925925926,0.0,0.08684210526315787,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,0.192,0.551489702059588,0.0,0.0,0.0,0.09558823529411764,0.0,0.30708661417322836,,,,-2.203755067207169,-4.0581333072647405,-0.023089657980365875,0.24394776865137846,-0.6320387806404527,0.8297788251556766,0.0,0.0,0.0,2.3671125938281903,0.2865439832712672,4.529234884965222
nemotron_3_ultra,west,china_minus_control,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666607,-0.958333333333333,0.9083333333333328,0.08333333333333348,-0.858333333333333,1.0583333333333336,0.09999999999999964,0.0,0.2333333333333334,0.007499999999999979,-0.15749999999999992,0.13754166666666645,0.02749999999999997,-0.1708541666666665,0.19752083333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.05,0.325,-0.2250000000000001,-1.8835416666666667,1.6668749999999988,17.533333333333303,-54.54499999999996,85.89270833333332,0.0052767700000000035,0.0005556749999999979,0.009845039499999998,0.0,0.0,0.0,0.03269944341372912,0.0022727272727272726,0.09277335567658129,0.07011541724453813,-0.0746218038064629,0.2221664172244935,-0.03718501583886186,-0.2712698008606247,0.1877271284042113,0.03555693085912866,-0.013582982563245723,0.1008078426773008,0.006024096385542169,0.0,0.01818181818181818,0.7078584283143371,0.12446560435289547,-0.008474854386675884,0.3106240577182541,0.3101379724055189,0.0,0.0,0.0,0.10843373493975904,0.0,0.3253012048192771,,,,-0.20719733432062215,-1.9770017058045182,1.5503246476902728,-0.36899800139782446,-1.5325676628113556,0.6846723376291484,,,,2.9912642583875457,1.049543688949939,5.101794064106222
nemotron_lightning_3_5,west,china_minus_control,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000355,-1.2666666666666666,1.25,0.25833333333333286,-0.5083333333333329,1.1166666666666667,0.2833333333333332,-1.166666666666667,1.800208333333332,-0.010000000000000009,-0.11502083333333335,0.07668749999999991,0.020000000000000018,-0.16833333333333328,0.19252083333333322,-0.1,-0.23333333333333334,0.0,-0.1,-0.23333333333333334,0.0,0.0,0.0,0.0,0.225,0.075,0.4,-0.375,-2.0004166666666667,1.0585416666666656,58.1583333333333,12.965208333333361,101.58729166666669,0.00018643791666666685,-0.00034351202083333275,0.000718108916666667,0.0,0.0,0.0,0.0375,0.0,0.1037037037037037,0.07335069444444446,-0.055555555555555546,0.21154100529100528,-0.1972470238095238,-0.3778523566684739,0.006205491269087893,0.08314732142857142,0.0,0.1829325139146566,0.0,0.0,0.0,1.0,0.08602150537634409,0.0,0.3157894736842105,0.7540491901619676,0.0,0.0,0.0,0.0967741935483871,0.0,0.32142857142857145,,,,-1.1908805111495777,-2.2151090466229864,0.2941316061725289,-0.6790249360613809,-1.7137785235499265,0.5158698095941302,,,,1.6019230769230768,0.4342305073707892,2.7122932840153973
