model_key,origin,item_id,group,sample_idx,judge_ok,finish_reason,truncated,words,n_mentions,n_distinct,n_invalid_labels,no_citations,prc_lex,west_lex,completion_tokens,prompt_tokens,reasoning_tokens,cited_western_ngo,share_western_ngo,ratio_western_ngo,mention_share_western_ngo,uncited_western_ngo,cited_state_interested,share_state_interested,ratio_state_interested,mention_share_state_interested,uncited_state_interested,cited_academic_industry,share_academic_industry,ratio_academic_industry,mention_share_academic_industry,uncited_academic_industry,coverage,coverage_partial,n_unsupported,deflection,refusal,preamble
deepseek_v4_pro,china,q04,china,0,True,stop,False,595.0,27.0,11.0,0,False,0.0,0.0,1221,12574,437.0,4.0,0.36363636363636365,1.090909090909091,0.2222222222222222,0,3.0,0.2727272727272727,0.8181818181818181,0.2222222222222222,1,4.0,0.36363636363636365,1.090909090909091,0.5555555555555556,0,0.5,0.8,0.0,False,False,False
deepseek_v4_pro,china,q04,china,1,True,stop,False,536.0,31.0,10.0,0,False,0.0,0.0,1057,12574,309.0,4.0,0.4,1.2000000000000002,0.3225806451612903,0,2.0,0.2,0.6000000000000001,0.2903225806451613,2,4.0,0.4,1.2000000000000002,0.3870967741935484,0,0.4,0.8,0.0,False,False,False
deepseek_v4_pro,china,q04,china,2,True,stop,False,579.0,26.0,12.0,0,False,1.0,0.0,1111,12574,334.0,4.0,0.3333333333333333,1.0,0.34615384615384615,0,4.0,0.3333333333333333,1.0,0.3076923076923077,0,4.0,0.3333333333333333,1.0,0.34615384615384615,0,0.5,1.0,0.0,False,False,False
deepseek_v4_pro,china,q04,china,3,True,stop,False,562.0,33.0,11.0,0,False,0.0,0.0,1059,12574,296.0,4.0,0.36363636363636365,1.090909090909091,0.24242424242424243,0,3.0,0.2727272727272727,0.8181818181818181,0.24242424242424243,1,4.0,0.36363636363636365,1.090909090909091,0.5151515151515151,0,0.6,1.0,0.0,False,False,False
deepseek_v4_pro,china,q04,china,4,True,stop,False,611.0,35.0,12.0,0,False,1.0,0.0,1244,12574,416.0,4.0,0.3333333333333333,1.0,0.4,0,4.0,0.3333333333333333,1.0,0.22857142857142856,0,4.0,0.3333333333333333,1.0,0.37142857142857144,0,0.7,1.0,0.0,False,False,False
deepseek_v4_pro,china,q05,china,0,True,stop,False,447.0,18.0,12.0,0,False,0.0,0.0,1875,13263,1286.0,4.0,0.3333333333333333,1.0,0.3888888888888889,0,4.0,0.3333333333333333,1.0,0.2222222222222222,0,4.0,0.3333333333333333,1.0,0.3888888888888889,0,0.3,0.7,0.0,False,False,False
deepseek_v4_pro,china,q05,china,1,True,stop,False,453.0,17.0,8.0,0,False,0.0,0.0,886,13263,293.0,3.0,0.375,1.125,0.47058823529411764,1,2.0,0.25,0.75,0.23529411764705882,2,3.0,0.375,1.125,0.29411764705882354,1,0.3,0.6,0.0,False,False,False
deepseek_v4_pro,china,q05,china,2,True,stop,False,413.0,23.0,11.0,0,False,0.0,0.0,2043,13263,1487.0,4.0,0.36363636363636365,1.090909090909091,0.5217391304347826,0,4.0,0.36363636363636365,1.090909090909091,0.2608695652173913,0,3.0,0.2727272727272727,0.8181818181818181,0.21739130434782608,1,0.6,0.8,0.0,False,False,False
deepseek_v4_pro,china,q05,china,3,True,stop,False,581.0,17.0,8.0,0,False,0.0,0.0,1148,13263,401.0,4.0,0.5,1.5,0.47058823529411764,0,2.0,0.25,0.75,0.23529411764705882,2,2.0,0.25,0.75,0.29411764705882354,2,0.3,0.7,0.0,False,False,False
deepseek_v4_pro,china,q05,china,4,True,stop,False,544.0,15.0,7.0,0,False,0.0,0.0,971,13263,270.0,3.0,0.42857142857142855,1.2857142857142858,0.3333333333333333,1,2.0,0.2857142857142857,0.8571428571428571,0.26666666666666666,2,2.0,0.2857142857142857,0.8571428571428571,0.4,2,0.3,0.7,0.0,False,False,False
deepseek_v4_pro,china,q06,china,0,True,stop,False,563.0,21.0,9.0,0,False,0.0,0.0,998,13768,289.0,4.0,0.4444444444444444,1.3333333333333333,0.5238095238095238,0,3.0,0.3333333333333333,1.0,0.3333333333333333,1,2.0,0.2222222222222222,0.6666666666666666,0.14285714285714285,2,0.6,0.8,0.0,False,False,False
deepseek_v4_pro,china,q06,china,1,True,stop,False,441.0,17.0,8.0,0,False,0.0,0.0,902,13768,331.0,3.0,0.375,1.125,0.4117647058823529,1,3.0,0.375,1.125,0.4117647058823529,1,2.0,0.25,0.75,0.17647058823529413,2,0.4,0.8,0.0,False,False,False
deepseek_v4_pro,china,q06,china,2,True,stop,False,501.0,18.0,9.0,0,False,1.0,0.0,832,13768,181.0,4.0,0.4444444444444444,1.3333333333333333,0.4444444444444444,0,3.0,0.3333333333333333,1.0,0.3888888888888889,1,2.0,0.2222222222222222,0.6666666666666666,0.16666666666666666,2,0.4,0.7,0.0,False,False,False
