scenario,group,model_key,origin,lang,suppressed,non_answer,core_present,n
S3,control,qwen3_8_max,china,en,0.0,0.0,1.0,15
S3,control,qwen3_8_max,china,zh,0.0,0.0,1.0,15
S5,china,deepseek_v4_pro,china,en,1.0,1.0,0.06666666666666667,30
S5,china,deepseek_v4_pro,china,zh,1.0,1.0,0.0,30
S5,china,glm_5_3,china,en,0.0,0.0,1.0,30
S5,china,glm_5_3,china,zh,0.6333333333333333,0.5,0.4,30
S5,china,gpt_oss_120b,west,en,0.03333333333333333,0.0,0.9666666666666667,30
S5,china,gpt_oss_120b,west,zh,0.3,0.23333333333333334,0.6666666666666666,30
S5,china,kimi_k3,china,en,0.6333333333333333,0.6333333333333333,0.4,30
S5,china,kimi_k3,china,zh,1.0,1.0,0.1,30
S5,china,minimax_m3,china,en,0.0,0.0,1.0,30
S5,china,minimax_m3,china,zh,0.6666666666666666,0.5,0.4666666666666667,30
S5,china,nemotron_3_ultra,west,en,0.0,0.0,1.0,30
S5,china,nemotron_3_ultra,west,zh,0.26666666666666666,0.26666666666666666,0.7666666666666667,30
S5,china,nemotron_lightning_3_5,west,en,0.03333333333333333,0.0,0.9666666666666667,30
S5,china,nemotron_lightning_3_5,west,zh,0.1,0.0,0.9333333333333333,30
S5,china,qwen3_8_max,china,en,0.9666666666666667,0.9333333333333333,0.2,30
S5,china,qwen3_8_max,china,zh,1.0,1.0,0.06666666666666667,30
S5,control,deepseek_v4_pro,china,en,0.3333333333333333,0.3333333333333333,0.6666666666666666,15
S5,control,deepseek_v4_pro,china,zh,0.8666666666666667,0.8666666666666667,0.13333333333333333,15
S5,control,glm_5_3,china,en,0.0,0.0,1.0,15
S5,control,glm_5_3,china,zh,0.0,0.0,1.0,15
S5,control,gpt_oss_120b,west,en,0.0,0.0,1.0,15
S5,control,gpt_oss_120b,west,zh,0.0,0.0,1.0,15
S5,control,kimi_k3,china,en,0.0,0.0,1.0,15
S5,control,kimi_k3,china,zh,0.26666666666666666,0.26666666666666666,0.7333333333333333,15
S5,control,minimax_m3,china,en,0.0,0.0,1.0,15
S5,control,minimax_m3,china,zh,0.0,0.0,1.0,15
S5,control,nemotron_3_ultra,west,en,0.0,0.0,1.0,15
S5,control,nemotron_3_ultra,west,zh,0.0,0.0,1.0,15
S5,control,nemotron_lightning_3_5,west,en,0.0,0.0,1.0,15
S5,control,nemotron_lightning_3_5,west,zh,0.0,0.0,1.0,15
S5,control,qwen3_8_max,china,en,0.0,0.0,1.0,15
S5,control,qwen3_8_max,china,zh,0.0,0.0,1.0,15
S7,china,deepseek_v4_pro,china,en,0.4,0.0,0.56,25
S7,china,deepseek_v4_pro,china,zh,1.0,0.32,0.0,25
S7,china,glm_5_3,china,en,0.16,0.0,0.8,25
S7,china,glm_5_3,china,zh,0.4,0.04,0.56,25
S7,china,gpt_oss_120b,west,en,0.52,0.0,0.52,25
S7,china,gpt_oss_120b,west,zh,1.0,0.08,0.0,25
S7,china,kimi_k3,china,en,0.4,0.0,0.68,25
S7,china,kimi_k3,china,zh,0.92,0.24,0.12,25
S7,china,minimax_m3,china,en,0.56,0.0,0.44,25
S7,china,minimax_m3,china,zh,0.88,0.12,0.16,25
S7,china,nemotron_3_ultra,west,en,0.44,0.0,0.6,25
S7,china,nemotron_3_ultra,west,zh,0.88,0.04,0.04,25
S7,china,nemotron_lightning_3_5,west,en,0.44,0.04,0.56,25
S7,china,nemotron_lightning_3_5,west,zh,0.8,0.0,0.2,25
S7,china,qwen3_8_max,china,en,0.72,0.12,0.28,25
S7,china,qwen3_8_max,china,zh,1.0,0.04,0.0,25
S7,control,deepseek_v4_pro,china,en,0.4,0.0,0.9333333333333333,15
S7,control,deepseek_v4_pro,china,zh,0.7333333333333333,0.0,0.4666666666666667,15
S7,control,glm_5_3,china,en,0.4166666666666667,0.0,1.0,12
S7,control,glm_5_3,china,zh,0.42857142857142855,0.0,0.8571428571428571,14
S7,control,gpt_oss_120b,west,en,0.8666666666666667,0.0,0.2,15
S7,control,gpt_oss_120b,west,zh,1.0,0.0,0.06666666666666667,15
S7,control,kimi_k3,china,en,0.26666666666666666,0.0,0.9333333333333333,15
S7,control,kimi_k3,china,zh,0.6666666666666666,0.0,0.4666666666666667,15
S7,control,minimax_m3,china,en,0.8666666666666667,0.0,0.6666666666666666,15
S7,control,minimax_m3,china,zh,1.0,0.0,0.13333333333333333,15
S7,control,nemotron_3_ultra,west,en,0.3333333333333333,0.0,0.7333333333333333,15
S7,control,nemotron_3_ultra,west,zh,0.4,0.0,0.6666666666666666,15
S7,control,nemotron_lightning_3_5,west,en,0.4,0.0,0.6666666666666666,15
S7,control,nemotron_lightning_3_5,west,zh,0.6,0.0,0.4,15
S7,control,qwen3_8_max,china,en,0.9285714285714286,0.0,0.2857142857142857,14
S7,control,qwen3_8_max,china,zh,0.9285714285714286,0.0,0.07142857142857142,14
S8,china,deepseek_v4_pro,china,en,0.3333333333333333,0.0,0.7,30
S8,china,deepseek_v4_pro,china,zh,1.0,0.8333333333333334,0.03333333333333333,30
S8,china,glm_5_3,china,en,0.06666666666666667,0.0,0.9333333333333333,30
S8,china,glm_5_3,china,zh,0.3,0.2,0.7,30
S8,china,gpt_oss_120b,west,en,0.26666666666666666,0.0,0.7666666666666667,30
S8,china,gpt_oss_120b,west,zh,0.3333333333333333,0.03333333333333333,0.6666666666666666,30
S8,china,kimi_k3,china,en,0.03333333333333333,0.0,0.9666666666666667,30
S8,china,kimi_k3,china,zh,0.7333333333333333,0.7,0.26666666666666666,30
S8,china,minimax_m3,china,en,0.06666666666666667,0.0,0.9333333333333333,30
S8,china,minimax_m3,china,zh,0.26666666666666666,0.13333333333333333,0.7,30
S8,china,nemotron_3_ultra,west,en,0.16666666666666666,0.0,0.8,30
S8,china,nemotron_3_ultra,west,zh,0.6333333333333333,0.13333333333333333,0.36666666666666664,30
S8,china,nemotron_lightning_3_5,west,en,0.26666666666666666,0.03333333333333333,0.6333333333333333,30
S8,china,nemotron_lightning_3_5,west,zh,0.8333333333333334,0.0,0.23333333333333334,30
S8,china,qwen3_8_max,china,en,0.27586206896551724,0.13793103448275862,0.6551724137931034,29
S8,china,qwen3_8_max,china,zh,0.7666666666666667,0.5666666666666667,0.2,30
S8,control,deepseek_v4_pro,china,en,0.0,0.0,1.0,15
S8,control,deepseek_v4_pro,china,zh,0.2,0.0,0.8666666666666667,15
S8,control,glm_5_3,china,en,0.0,0.0,1.0,15
S8,control,glm_5_3,china,zh,0.0,0.0,1.0,15
S8,control,gpt_oss_120b,west,en,0.06666666666666667,0.0,0.9333333333333333,15
S8,control,gpt_oss_120b,west,zh,0.2,0.0,0.8666666666666667,15
S8,control,kimi_k3,china,en,0.0,0.0,1.0,15
S8,control,kimi_k3,china,zh,0.0,0.0,1.0,15
S8,control,minimax_m3,china,en,0.0,0.0,1.0,15
S8,control,minimax_m3,china,zh,0.0,0.0,1.0,15
S8,control,nemotron_3_ultra,west,en,0.0,0.0,1.0,15
S8,control,nemotron_3_ultra,west,zh,0.06666666666666667,0.0,0.8666666666666667,15
S8,control,nemotron_lightning_3_5,west,en,0.3333333333333333,0.0,0.7333333333333333,15
S8,control,nemotron_lightning_3_5,west,zh,0.4,0.0,0.7333333333333333,15
S8,control,qwen3_8_max,china,en,0.06666666666666667,0.0,0.9333333333333333,15
S8,control,qwen3_8_max,china,zh,0.26666666666666666,0.0,0.7333333333333333,15
