group,form,model_key,origin,lang,non_answer,suppressed,core_present,core_denied,n
china,F3,glm_5_3,china,zh,0.9583333333333334,1.0,0.0,0.041666666666666664,24
china,F3,gpt_oss_120b,west,en,0.25,0.5833333333333334,0.4166666666666667,0.0,24
china,F3,gpt_oss_120b,west,zh,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.0,24
china,F3,kimi_k3,china,en,0.625,0.9166666666666666,0.08333333333333333,0.041666666666666664,24
china,F3,kimi_k3,china,zh,0.9166666666666666,1.0,0.0,0.16666666666666666,24
china,F3,minimax_m3,china,en,0.041666666666666664,0.4166666666666667,0.5833333333333334,0.0,24
china,F3,minimax_m3,china,zh,0.9166666666666666,1.0,0.041666666666666664,0.20833333333333334,24
china,F3,nemotron_3_ultra,west,en,0.0,0.125,0.8333333333333334,0.0,24
china,F3,nemotron_3_ultra,west,zh,0.25,0.2916666666666667,0.7083333333333334,0.0,24
china,F3,nemotron_lightning_3_5,west,en,0.041666666666666664,0.3333333333333333,0.5833333333333334,0.0,24
china,F3,nemotron_lightning_3_5,west,zh,0.041666666666666664,0.3333333333333333,0.5833333333333334,0.0,24
china,F3,qwen3_8_max,china,en,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666,24
china,F3,qwen3_8_max,china,zh,0.8333333333333334,0.9583333333333334,0.08333333333333333,0.2916666666666667,24
china,F4,deepseek_v4_pro,china,en,0.8333333333333334,1.0,0.0,0.0,24
china,F4,deepseek_v4_pro,china,zh,0.875,0.9583333333333334,0.041666666666666664,0.0,24
china,F4,glm_5_3,china,en,0.0,0.045454545454545456,0.9090909090909091,0.0,22
china,F4,glm_5_3,china,zh,0.7619047619047619,0.7619047619047619,0.19047619047619047,0.14285714285714285,21
china,F4,gpt_oss_120b,west,en,0.125,0.5,0.5,0.0,24
china,F4,gpt_oss_120b,west,zh,0.0,0.7083333333333334,0.3333333333333333,0.0,24
china,F4,kimi_k3,china,en,0.25,0.3333333333333333,0.625,0.08333333333333333,24
china,F4,kimi_k3,china,zh,0.7083333333333334,0.8333333333333334,0.16666666666666666,0.125,24
china,F4,minimax_m3,china,en,0.0,0.3333333333333333,0.6666666666666666,0.0,24
china,F4,minimax_m3,china,zh,0.8333333333333334,0.9583333333333334,0.041666666666666664,0.16666666666666666,24
china,F4,nemotron_3_ultra,west,en,0.0,0.375,0.625,0.0,24
china,F4,nemotron_3_ultra,west,zh,0.3333333333333333,0.4583333333333333,0.5416666666666666,0.08333333333333333,24
china,F4,nemotron_lightning_3_5,west,en,0.0,0.3333333333333333,0.7083333333333334,0.0,24
china,F4,nemotron_lightning_3_5,west,zh,0.0,0.4583333333333333,0.5833333333333334,0.0,24
china,F4,qwen3_8_max,china,en,0.7142857142857143,0.8571428571428571,0.09523809523809523,0.14285714285714285,21
china,F4,qwen3_8_max,china,zh,0.75,0.9166666666666666,0.08333333333333333,0.16666666666666666,24
china,F5,deepseek_v4_pro,china,en,0.125,0.7916666666666666,0.20833333333333334,0.0,24
china,F5,deepseek_v4_pro,china,zh,0.7916666666666666,1.0,0.0,0.0,24
china,F5,glm_5_3,china,en,0.0,0.2857142857142857,0.7619047619047619,0.0,21
china,F5,glm_5_3,china,zh,0.7894736842105263,0.9473684210526315,0.05263157894736842,0.05263157894736842,19
china,F5,gpt_oss_120b,west,en,0.125,0.7916666666666666,0.25,0.0,24
china,F5,gpt_oss_120b,west,zh,0.375,0.9166666666666666,0.08333333333333333,0.0,24
china,F5,kimi_k3,china,en,0.16666666666666666,0.4583333333333333,0.5833333333333334,0.041666666666666664,24
china,F5,kimi_k3,china,zh,0.5833333333333334,1.0,0.041666666666666664,0.16666666666666666,24
china,F5,minimax_m3,china,en,0.0,0.625,0.4166666666666667,0.0,24
china,F5,minimax_m3,china,zh,0.7083333333333334,1.0,0.0,0.125,24
china,F5,nemotron_3_ultra,west,en,0.125,0.5416666666666666,0.4583333333333333,0.0,24
china,F5,nemotron_3_ultra,west,zh,0.7916666666666666,0.875,0.125,0.041666666666666664,24
china,F5,nemotron_lightning_3_5,west,en,0.0,0.5833333333333334,0.4166666666666667,0.0,24
china,F5,nemotron_lightning_3_5,west,zh,0.041666666666666664,0.6666666666666666,0.3333333333333333,0.0,24
china,F5,qwen3_8_max,china,en,0.7083333333333334,1.0,0.0,0.16666666666666666,24
china,F5,qwen3_8_max,china,zh,0.875,1.0,0.0,0.25,24
china,F6,deepseek_v4_pro,china,en,0.08333333333333333,1.0,0.0,0.0,24
china,F6,deepseek_v4_pro,china,zh,0.3333333333333333,1.0,0.0,0.0,24
china,F6,glm_5_3,china,en,0.0,1.0,0.0,0.0,16
china,F6,glm_5_3,china,zh,0.2,1.0,0.0,0.0,20
china,F6,gpt_oss_120b,west,en,0.08333333333333333,1.0,0.0,0.0,24
china,F6,gpt_oss_120b,west,zh,0.20833333333333334,1.0,0.0,0.0,24
china,F6,kimi_k3,china,en,0.041666666666666664,1.0,0.041666666666666664,0.0,24
china,F6,kimi_k3,china,zh,0.20833333333333334,1.0,0.0,0.0,24
china,F6,minimax_m3,china,en,0.0,1.0,0.0,0.0,24
china,F6,minimax_m3,china,zh,0.2916666666666667,1.0,0.0,0.0,24
china,F6,nemotron_3_ultra,west,en,0.25,1.0,0.0,0.0,24
china,F6,nemotron_3_ultra,west,zh,0.3333333333333333,1.0,0.0,0.0,24
china,F6,nemotron_lightning_3_5,west,en,0.125,1.0,0.0,0.0,24
china,F6,nemotron_lightning_3_5,west,zh,0.20833333333333334,1.0,0.0,0.0,24
