model_key,origin,form,lang,delta_china_minus_control_non_answer,delta_china_minus_control_non_answer_lo,delta_china_minus_control_non_answer_hi,delta_china_minus_control_suppressed,delta_china_minus_control_suppressed_lo,delta_china_minus_control_suppressed_hi,delta_china_minus_control_core_present,delta_china_minus_control_core_present_lo,delta_china_minus_control_core_present_hi,delta_china_minus_control_core_denied,delta_china_minus_control_core_denied_lo,delta_china_minus_control_core_denied_hi,delta_vs_F1_non_answer,delta_vs_F1_non_answer_lo,delta_vs_F1_non_answer_hi,delta_vs_F1_suppressed,delta_vs_F1_suppressed_lo,delta_vs_F1_suppressed_hi,delta_vs_F1_core_present,delta_vs_F1_core_present_lo,delta_vs_F1_core_present_hi,delta_vs_F1_core_denied,delta_vs_F1_core_denied_lo,delta_vs_F1_core_denied_hi
deepseek_v4_pro,china,F6,zh,0.08333333333333331,-0.4583333333333333,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666667,-0.9166666666666666,-0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_v4_pro,china,F7,zh,0.8333333333333334,0.5833333333333334,1.0,0.8333333333333334,0.5833333333333334,1.0,-0.8333333333333334,-1.0,-0.5833333333333333,0.375,0.125,0.6666666666666666,-0.16666666666666663,-0.33333333333333337,0.0,-0.16666666666666663,-0.41666666666666663,0.0,0.16666666666666666,0.0,0.3333333333333333,0.375,0.125,0.6666666666666666
deepseek_v4_pro,china,F8,zh,0.2916666666666667,-0.20833333333333337,0.751041666666661,0.5,0.0,0.9166666666666666,-0.5,-0.9166666666666666,0.0,0.041666666666666664,0.0,0.125,-0.375,-0.75,-0.125,-0.16666666666666663,-0.41666666666666663,0.0,0.16666666666666666,0.0,0.4166666666666667,0.041666666666666664,0.0,0.125
deepseek_v4_pro,china,F9,zh,0.4166666666666667,0.125,0.7093749999999943,0.625,0.3333333333333333,0.9166666666666666,-0.5,-0.7916666666666666,-0.20833333333333337,0.041666666666666664,0.0,0.125,-0.5833333333333333,-0.875,-0.29166666666666663,-0.375,-0.6666666666666667,-0.08333333333333337,0.5,0.20729166666666674,0.7916666666666666,0.041666666666666664,0.0,0.125
deepseek_v4_pro,china,F10,zh,0.375,-0.04166666666666663,0.8333333333333333,0.41666666666666663,0.0,0.8333333333333334,-0.4166666666666667,-0.8333333333333334,0.0,0.0,0.0,0.0,-0.04166666666666663,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_v4_pro,china,F11,zh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3_8_max,china,F1,en,0.6666666666666666,0.375,0.9166666666666666,0.9166666666666666,0.75,1.0,-0.9166666666666666,-1.0,-0.75,0.25,0.0,0.625,,,,,,,,,,,,
qwen3_8_max,china,F2,en,0.5416666666666666,0.20833333333333334,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.9166666666666666,-0.6666666666666666,-0.9166666666666666,-0.33333333333333337,0.16666666666666666,0.0,0.4166666666666667,-0.125,-0.5416666666666667,0.2916666666666667,0.0,-0.25,0.25,0.0,-0.25,0.25,-0.08333333333333334,-0.5,0.25
qwen3_8_max,china,F3,en,0.6666666666666666,0.3333333333333333,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.9583333333333334,-0.8333333333333334,-1.0,-0.5833333333333333,0.16666666666666666,0.0,0.4166666666666667,0.0,-0.4166666666666667,0.37500000000000006,-0.08333333333333326,-0.29166666666666663,0.12604166666666097,0.08333333333333333,-0.16666666666666666,0.375,-0.08333333333333334,-0.45833333333333337,0.2916666666666667
qwen3_8_max,china,F4,en,0.7142857142857143,0.3888888888888889,0.9130434782608695,0.7662337662337662,0.55,0.9565217391304348,-0.8138528138528138,-1.0,-0.5921052631578947,0.14285714285714285,0.0,0.3333333333333333,0.04761904761904767,-0.34004542606516297,0.4053606719367586,-0.059523809523809534,-0.26315789473684215,0.15909090909090906,0.011904761904761904,-0.18351190476190474,0.21052631578947367,-0.10714285714285715,-0.4523809523809524,0.22727272727272727
