model_key,origin,group,form,lang,n_samples,n_judged,non_answer_rate,non_answer_rate_lo,non_answer_rate_hi,suppressed_rate,suppressed_rate_lo,suppressed_rate_hi,refusal_rate,refusal_rate_lo,refusal_rate_hi,official_line_rate,official_line_rate_lo,official_line_rate_hi,deflection_rate,deflection_rate_lo,deflection_rate_hi,omission_rate,omission_rate_lo,omission_rate_hi,hedged_rate,hedged_rate_lo,hedged_rate_hi,factual_rate,factual_rate_lo,factual_rate_hi,core_fact_present_rate,core_fact_present_rate_lo,core_fact_present_rate_hi,core_fact_denied_rate,core_fact_denied_rate_lo,core_fact_denied_rate_hi,fact_coverage,fact_coverage_lo,fact_coverage_hi,trace_present_answer_absent_rate,trace_present_answer_absent_rate_lo,trace_present_answer_absent_rate_hi,trace_policy_cue_rate,trace_policy_cue_rate_lo,trace_policy_cue_rate_hi,prc_lexicon_hits,prc_lexicon_hits_lo,prc_lexicon_hits_hi,mean_length_tokens,mean_length_tokens_lo,mean_length_tokens_hi,truncation_rate,truncation_rate_lo,truncation_rate_hi,verdict_true_share,verdict_false_share
deepseek_v4_pro,china,china,F6,en,24,24,0.08333333333333333,0.0,0.20833333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.20833333333333334,0.9166666666666666,0.7916666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.125,0.125,0.0,0.375,397.8333333333333,375.83229166666666,418.66875,0.0,0.0,0.0,,
deepseek_v4_pro,china,china,F6,zh,24,24,0.3333333333333333,0.08333333333333333,0.625,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.125,0.625,0.0,0.0,0.0,305.9166666666667,281.125,329.0,0.0,0.0,0.0,,
deepseek_v4_pro,china,china,F7,en,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.22083333333333333,0.1875,0.27499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.666666666666664,36.916666666666664,42.416666666666664,0.0,0.0,0.0,1.0,0.0
deepseek_v4_pro,china,china,F7,zh,24,24,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,0.5833333333333334,1.0,0.4583333333333333,0.125,0.7916666666666666,0.375,0.125,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.125,0.125,0.0,0.2916666666666667,0.16666666666666666,0.0,0.4166666666666667,0.375,0.125,0.6666666666666666,0.041666666666666664,0.008333333333333333,0.08333333333333333,0.041666666666666664,0.0,0.125,0.4583333333333333,0.16666666666666666,0.75,0.0,0.0,0.0,36.291666666666664,28.416666666666668,45.209374999999994,0.0,0.0,0.0,0.5416666666666666,0.375
deepseek_v4_pro,china,china,F8,en,24,24,0.0,0.0,0.0,0.4166666666666667,0.12395833333333339,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.125,0.75,0.0,0.0,0.0,0.5833333333333334,0.25,0.875,0.5833333333333334,0.25,0.875,0.0,0.0,0.0,0.30416666666666664,0.225,0.39999999999999997,0.16666666666666666,0.041666666666666664,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,78.125,54.24270833333333,102.91666666666667,0.0,0.0,0.0,,
deepseek_v4_pro,china,china,F8,zh,24,24,0.625,0.25,1.0,0.8333333333333334,0.5833333333333334,1.0,0.5416666666666666,0.20833333333333334,0.875,0.08333333333333333,0.0,0.25,0.0,0.0,0.0,0.20833333333333334,0.041666666666666664,0.4583333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.041666666666666664,0.0,0.125,0.19583333333333333,0.0625,0.3876041666666661,0.08333333333333333,0.0,0.16666666666666666,0.041666666666666664,0.0,0.125,0.0,0.0,0.0,81.04166666666667,36.666666666666664,127.1927083333332,0.0,0.0,0.0,,
deepseek_v4_pro,china,china,F9,en,24,24,0.0,0.0,0.0,0.25,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08333333333333333,0.5,0.041666666666666664,0.0,0.125,0.7083333333333334,0.4166666666666667,0.9166666666666666,0.7916666666666666,0.5833333333333334,0.9583333333333334,0.0,0.0,0.0,0.6194444444444445,0.49444444444444446,0.7361805555555553,0.16666666666666666,0.041666666666666664,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,177.83333333333334,161.83229166666666,193.25729166666662,0.0,0.0,0.0,,
deepseek_v4_pro,china,china,F9,zh,24,24,0.4166666666666667,0.125,0.75,0.625,0.3333333333333333,0.9166666666666666,0.125,0.0,0.375,0.16666666666666666,0.0,0.4166666666666667,0.125,0.0,0.2916666666666667,0.20833333333333334,0.0,0.4583333333333333,0.0,0.0,0.0,0.375,0.125,0.6666666666666666,0.5,0.20833333333333334,0.7916666666666666,0.041666666666666664,0.0,0.125,0.37222222222222223,0.20270833333333338,0.5388888888888889,0.041666666666666664,0.0,0.125,0.7083333333333334,0.4166666666666667,0.9166666666666666,0.0,0.0,0.0,194.0,142.9125,230.2145833333333,0.0,0.0,0.0,,
deepseek_v4_pro,china,china,F10,en,24,24,0.16666666666666666,0.0,0.4166666666666667,0.6666666666666666,0.4166666666666667,0.9166666666666666,0.125,0.0,0.375,0.041666666666666664,0.0,0.125,0.0,0.0,0.0,0.5,0.20833333333333334,0.7916666666666666,0.25,0.04062500000000006,0.501041666666661,0.08333333333333333,0.0,0.20833333333333334,0.25,0.08333333333333333,0.4583333333333333,0.041666666666666664,0.0,0.125,0.43472222222222223,0.22774305555555555,0.6347222222222223,0.125,0.0,0.2916666666666667,0.25,0.08333333333333333,0.375,0.4583333333333333,0.08333333333333333,1.0416666666666667,264.375,185.20416666666668,334.67083333333335,0.0,0.0,0.0,,
deepseek_v4_pro,china,china,F10,zh,24,24,0.9583333333333334,0.875,1.0,1.0,1.0,1.0,0.9583333333333334,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.025000000000000005,0.0,0.0,0.0,0.041666666666666664,0.0,0.125,0.0,0.0,0.0,36.833333333333336,24.0,62.5,0.0,0.0,0.0,,
