model_key,origin,group,claim_type,n,recall,recall_lo,recall_hi,distortion_rate,distortion_rate_lo,distortion_rate_hi,omission_rate,omission_rate_lo,omission_rate_hi,trace_present_answer_absent_rate,trace_present_answer_absent_rate_lo,trace_present_answer_absent_rate_hi
deepseek_v4_pro,china,china,numeric,585,0.38974358974358975,0.31478189593727723,0.464,0.0735042735042735,0.04626865671641791,0.11111683848797248,0.5367521367521367,0.4582496048769474,0.610208238851096,0.06932409012131716,0.031745369266237375,0.1141343167701863
deepseek_v4_pro,china,china,attribution,400,0.605,0.4909090909090909,0.7081214547881214,0.0725,0.03414634146341464,0.11954085457271364,0.3225,0.21840924426450745,0.44445175438596485,0.030226700251889168,0.009731769541492453,0.06364267676767672
deepseek_v4_pro,china,china,actor,165,0.3333333333333333,0.1923,0.4689981360671014,0.10909090909090909,0.048484848484848485,0.17142857142857143,0.5575757575757576,0.41079695079695083,0.7352941176470589,0.030864197530864196,0.006096637102734664,0.06370191082802544
deepseek_v4_pro,china,china,quote,395,0.47341772151898737,0.3536182251340083,0.585108353033885,0.07088607594936709,0.038080357142857145,0.10715178571428566,0.45569620253164556,0.35489472186655285,0.5797110621904238,0.050761421319796954,0.01907227372349248,0.08276036224312085
deepseek_v4_pro,china,china,evaluative,205,0.5902439024390244,0.4410227272727273,0.7130507246376812,0.04878048780487805,0.016216216216216217,0.08750762195121947,0.36097560975609755,0.23331632653061224,0.51,0.0196078431372549,0.0,0.0432744565217391
deepseek_v4_pro,china,china,background,210,0.42857142857142855,0.2971216931216931,0.5736842105263158,0.01904761904761905,0.0,0.044444444444444446,0.5523809523809524,0.41173374613003094,0.6877214377406932,0.033816425120772944,0.005345482690683929,0.07076099698559782
deepseek_v4_pro,china,control,numeric,720,0.4625,0.4,0.5185232974910394,0.08055555555555556,0.05734242424242424,0.10375293508287291,0.45694444444444443,0.388424890617404,0.5293334001603848,0.03611111111111111,0.020776981639050604,0.05312715022935779
deepseek_v4_pro,china,control,attribution,355,0.5014084507042254,0.3972212441314554,0.6028985507246377,0.08732394366197183,0.04209429824561403,0.14000746268656714,0.4112676056338028,0.3151494396014944,0.512937788018433,0.03380281690140845,0.012344729344729344,0.058465517241379286
deepseek_v4_pro,china,control,actor,160,0.325,0.19986486486486488,0.45925925925925926,0.06875,0.01764705882352941,0.13147619047619022,0.60625,0.4344540229885057,0.7542857142857143,0.05,0.018168449197860963,0.08666666666666667
deepseek_v4_pro,china,control,quote,370,0.37567567567567567,0.2870967741935484,0.4558288610614191,0.062162162162162166,0.030947802197802198,0.09566086956521734,0.5621621621621622,0.4566017227235439,0.6608862876254179,0.02972972972972973,0.013328947368421053,0.048844349245206
deepseek_v4_pro,china,control,evaluative,195,0.558974358974359,0.4142619047619048,0.676923076923077,0.035897435897435895,0.01,0.06976744186046512,0.40512820512820513,0.2954366028708134,0.54,0.041025641025641026,0.015384615384615385,0.07272727272727272
deepseek_v4_pro,china,control,background,175,0.4114285714285714,0.2933076923076923,0.5166768292682927,0.04,0.0,0.09033724340175944,0.5485714285714286,0.41814393939393935,0.681255787037037,0.03428571428571429,0.006666666666666667,0.06857589285714284
deepseek_v4_pro,china,neutral,numeric,845,0.5268176400476758,0.44030581989172296,0.6141951038073983,0.12753277711561384,0.07857338716416663,0.18351208857191864,0.3456495828367104,0.27903777356902354,0.41981327530490986,0.041716328963051254,0.01798526518964546,0.06745584665606429
deepseek_v4_pro,china,neutral,attribution,210,0.5096153846153846,0.348082944703531,0.6595772529798373,0.15865384615384615,0.04574420677361853,0.27103805073431236,0.3317307692307692,0.20463197109957101,0.4831507490636704,0.052884615384615384,0.015151515151515152,0.10566309869375906
deepseek_v4_pro,china,neutral,actor,120,0.44166666666666665,0.24615384615384617,0.6695760869565217,0.08333333333333333,0.017391304347826087,0.16666666666666666,0.475,0.2608695652173913,0.6758702791461412,0.075,0.009523809523809525,0.15384615384615385
deepseek_v4_pro,china,neutral,quote,325,0.2111801242236025,0.12572979041916166,0.2947394284236389,0.08695652173913043,0.04242370703501446,0.14154430379746832,0.7018633540372671,0.6032197881559943,0.8031791709489551,0.07453416149068323,0.02857142857142857,0.12452984843798329
deepseek_v4_pro,china,neutral,evaluative,215,0.6869158878504673,0.565676094890511,0.8039398084815321,0.04672897196261682,0.0049249068845368255,0.11000974025974021,0.26635514018691586,0.1282051282051282,0.3974116310633776,0.06074766355140187,0.01117163252638113,0.12098408892763723
deepseek_v4_pro,china,neutral,background,260,0.4418604651162791,0.3060984957363227,0.5652215719063545,0.046511627906976744,0.007966552761286869,0.1,0.5116279069767442,0.4088840579710145,0.618839419175742,0.06201550387596899,0.028164788732394367,0.0989399293286219
